,ID,Model,R1-R23,R24-R48,R49-R72,R73-R96,R97-R120,R121-R144,R145-R168,R169-R192,R193-R216,R217-R240,R241-R250,Surpass Percentage
0,401816_S,Central,4.09,15.99,5.26,16.01,16.32,2.65,1.97,1.64,3.0,5.6,6.29,100.00%
1,401816_S,NaiveFL,3.84,5.29,2.34,4.97,5.49,1.46,1.61,1.4,1.55,2.78,2.1,27.27%
2,401816_S,r-NaiveFL,3.51,7.27,2.64,6.11,7.14,2.12,2.12,1.23,2.24,3.09,2.39,63.64%
3,401816_S,NeighborFL,3.16,8.07,2.6,6.09,7.18,1.77,1.41,1.37,2.23,2.93,2.68,N/A
4,401817_N,Central,2.93,7.8,9.18,4.73,4.25,4.62,0.27,1.16,0.46,10.56,10.06,81.82%
5,401817_N,NaiveFL,3.01,4.05,6.28,4.57,4.15,3.91,1.65,2.29,0.94,5.9,12.34,90.91%
6,401817_N,r-NaiveFL,2.53,3.7,6.39,4.39,3.98,2.86,1.97,3.22,0.93,6.69,10.92,90.91%
7,401817_N,NeighborFL,1.5,3.69,5.85,5.35,3.66,2.12,0.5,0.6,0.33,4.18,5.81,N/A
8,400911_N,Central,2.9,3.58,29.57,17.39,11.78,4.54,1.0,0.64,3.0,34.69,23.37,72.73%
9,400911_N,NaiveFL,3.41,4.47,4.75,7.81,6.44,6.19,1.51,0.89,2.21,8.22,14.25,90.91%
10,400911_N,r-NaiveFL,2.85,3.64,5.11,8.39,6.24,5.41,1.23,0.76,1.96,10.5,16.41,81.82%
11,400911_N,NeighborFL,2.54,3.4,4.15,6.15,5.48,5.3,1.09,0.77,2.37,5.65,11.32,N/A
12,400863_N,Central,3.53,4.71,25.01,16.86,26.69,12.78,1.68,1.34,5.76,46.3,88.34,72.73%
13,400863_N,NaiveFL,3.97,5.85,13.23,15.94,17.02,11.71,2.4,1.83,5.12,32.24,69.31,81.82%
14,400863_N,r-NaiveFL,3.98,5.87,12.87,16.11,15.75,11.8,2.17,1.65,5.16,38.77,67.47,72.73%
15,400863_N,NeighborFL,3.17,5.24,12.61,15.67,16.81,12.29,1.86,1.49,5.44,32.04,63.8,N/A
16,409526_N,Central,2.66,3.54,12.62,2.53,6.88,1.34,0.97,1.33,1.62,20.18,8.36,63.64%
17,409526_N,NaiveFL,2.96,3.66,8.27,3.35,4.14,1.85,1.04,1.02,2.1,7.25,7.84,72.73%
18,409526_N,r-NaiveFL,2.47,3.45,8.23,3.09,3.72,1.54,0.82,0.91,1.81,7.77,7.27,72.73%
19,409526_N,NeighborFL,2.11,3.89,8.22,3.06,3.46,1.15,0.76,0.65,1.63,9.5,14.76,N/A
20,409529_S,Central,2.1,17.85,11.85,13.56,13.63,2.01,1.25,1.27,1.42,24.28,2.38,54.55%
21,409529_S,NaiveFL,4.08,4.48,4.61,5.97,6.93,3.09,3.84,3.73,4.09,5.14,4.95,72.73%
22,409529_S,r-NaiveFL,3.83,8.46,4.43,6.56,7.71,3.04,3.97,3.96,4.41,5.72,4.11,72.73%
23,409529_S,NeighborFL,1.56,6.75,3.97,6.86,6.92,3.19,3.34,2.97,3.43,3.33,4.44,N/A
24,409525_N,Central,1.54,9.25,15.74,5.42,7.99,1.59,1.83,1.92,2.2,31.09,14.91,45.45%
25,409525_N,NaiveFL,5.85,7.97,10.36,5.98,6.49,2.55,4.36,5.64,3.41,12.02,7.04,90.91%
26,409525_N,r-NaiveFL,5.98,8.48,10.51,6.1,6.47,2.56,4.22,5.32,3.47,12.27,7.21,90.91%
27,409525_N,NeighborFL,2.13,5.11,10.69,5.48,6.15,2.3,3.99,5.13,3.38,11.75,6.6,N/A
28,409528_S,Central,2.93,13.79,10.09,9.15,32.46,4.29,1.93,4.49,1.87,43.02,3.17,63.64%
29,409528_S,NaiveFL,3.09,6.23,6.97,7.79,13.57,2.33,4.24,6.59,1.91,6.37,1.75,54.55%
30,409528_S,r-NaiveFL,3.14,7.28,6.76,7.46,13.56,2.41,4.05,6.13,1.95,6.0,1.78,45.45%
31,409528_S,NeighborFL,3.36,10.45,6.72,7.92,13.39,2.24,3.97,5.65,2.05,6.06,1.91,N/A
32,402364_N,Central,2.07,2.41,33.65,65.49,33.66,4.19,0.84,0.83,1.38,23.51,10.56,72.73%
33,402364_N,NaiveFL,2.0,4.94,5.45,6.74,5.16,2.8,0.53,0.92,1.19,8.68,13.05,27.27%
34,402364_N,r-NaiveFL,2.03,4.69,5.27,6.43,5.14,2.87,0.53,0.95,1.18,9.11,12.43,36.36%
35,402364_N,NeighborFL,1.67,4.36,5.53,6.82,5.33,2.99,0.61,0.99,1.32,8.72,10.67,N/A
36,402365_S,Central,4.25,10.71,6.47,7.93,11.05,9.8,2.26,1.59,6.11,15.45,2.56,18.18%
37,402365_S,NaiveFL,8.31,19.72,18.86,22.96,19.87,23.71,5.99,5.83,5.92,18.52,4.43,90.91%
38,402365_S,r-NaiveFL,8.7,18.55,18.68,22.36,18.02,22.85,5.65,5.61,5.76,16.96,4.34,90.91%
39,402365_S,NeighborFL,7.64,14.48,15.18,23.02,17.52,20.22,4.92,4.72,5.2,14.5,2.63,N/A
40,401541_N,Central,3.55,2.76,4.26,10.26,8.36,9.0,11.41,4.24,2.55,23.39,10.98,63.64%
41,401541_N,NaiveFL,5.41,3.93,4.4,4.84,5.79,7.42,18.93,7.68,4.5,6.69,6.65,72.73%
42,401541_N,r-NaiveFL,5.48,3.15,4.44,4.92,5.91,7.9,15.02,7.53,4.09,6.88,6.53,81.82%
43,401541_N,NeighborFL,3.12,2.67,4.41,4.77,5.77,7.94,14.64,7.36,3.3,7.17,6.34,N/A
44,400971_S,Central,6.16,21.61,13.5,20.3,15.17,10.59,10.71,6.25,7.98,14.26,10.26,54.55%
45,400971_S,NaiveFL,6.83,15.07,11.39,14.69,17.63,18.22,18.76,5.84,14.63,13.36,11.69,90.91%
46,400971_S,r-NaiveFL,7.3,11.95,11.27,13.04,15.87,16.23,16.45,5.85,13.9,12.14,11.39,81.82%
47,400971_S,NeighborFL,4.93,8.55,10.39,12.46,15.94,14.44,14.67,6.11,13.18,12.06,10.8,N/A
48,400122_N,Central,5.11,13.14,6.78,8.22,13.0,10.85,17.31,4.29,3.18,26.28,47.1,45.45%
49,400122_N,NaiveFL,5.2,11.07,7.12,7.55,8.89,12.08,26.79,5.55,4.79,8.78,12.29,72.73%
50,400122_N,r-NaiveFL,5.33,9.11,6.69,6.9,8.54,12.35,23.21,5.25,4.39,9.68,10.51,63.64%
51,400122_N,NeighborFL,4.13,13.61,7.15,6.89,8.65,12.11,23.36,4.77,3.81,7.22,7.91,N/A
52,404759_S,Central,2.98,7.06,8.47,7.88,23.03,5.16,4.99,1.91,4.1,9.66,10.86,63.64%
53,404759_S,NaiveFL,2.38,7.82,5.44,8.86,6.73,7.12,4.29,1.93,7.26,7.05,6.06,81.82%
54,404759_S,r-NaiveFL,2.53,5.93,5.43,7.87,5.88,5.85,3.96,1.83,6.49,6.11,6.28,54.55%
55,404759_S,NeighborFL,2.53,4.51,5.37,8.12,5.91,5.2,4.19,1.95,6.38,6.17,5.67,N/A
56,400394_S,Central,3.9,12.29,6.74,6.86,5.38,6.24,4.16,0.8,12.39,5.6,1.67,9.09%
57,400394_S,NaiveFL,9.51,17.24,9.58,18.99,17.01,18.91,11.03,7.86,14.68,14.8,6.05,100.00%
58,400394_S,r-NaiveFL,8.86,13.16,8.5,16.16,13.91,15.45,9.51,6.99,12.69,12.06,5.27,100.00%
59,400394_S,NeighborFL,7.12,12.32,7.72,15.77,12.28,11.75,8.22,5.56,12.11,9.02,3.99,N/A
60,404753_N,Central,2.94,4.82,108.98,75.36,14.78,5.34,1.66,1.22,1.97,33.23,41.53,45.45%
61,404753_N,NaiveFL,8.28,15.53,13.18,17.18,12.87,10.61,12.74,8.62,7.23,19.78,27.04,100.00%
62,404753_N,r-NaiveFL,7.69,15.5,12.14,15.99,11.96,9.44,10.92,7.68,6.54,20.66,24.3,100.00%
63,404753_N,NeighborFL,4.19,12.21,10.71,15.88,9.05,7.25,7.17,4.04,4.51,18.45,20.24,N/A
64,400045_N,Central,3.39,6.02,4.82,7.11,5.58,10.01,8.22,3.41,1.59,6.06,11.12,18.18%
65,400045_N,NaiveFL,7.27,10.1,6.33,6.91,8.05,10.23,21.63,9.0,7.98,7.01,8.84,54.55%
66,400045_N,r-NaiveFL,7.76,9.16,6.7,6.63,7.98,11.18,18.79,9.24,8.14,7.53,9.11,72.73%
67,400045_N,NeighborFL,4.77,8.76,6.6,6.21,7.89,10.85,18.49,9.79,8.35,7.01,9.22,N/A
68,400001_N,Central,4.95,15.35,16.29,9.65,11.29,3.16,1.42,1.08,2.03,290.43,47.98,36.36%
69,400001_N,NaiveFL,7.57,24.51,8.7,13.17,10.61,9.44,6.45,4.87,5.52,13.3,16.61,90.91%
70,400001_N,r-NaiveFL,7.29,24.85,8.26,12.74,10.0,8.9,5.56,4.31,4.97,13.43,15.62,54.55%
71,400001_N,NeighborFL,5.2,25.78,8.01,12.64,10.24,8.53,5.51,4.36,5.13,13.2,15.99,N/A
72,400922_S,Central,3.65,5.73,7.04,8.87,6.32,6.39,7.84,1.38,9.71,6.37,3.02,90.91%
73,400922_S,NaiveFL,3.57,8.31,7.78,9.91,8.61,9.29,5.94,1.44,10.03,6.22,2.03,90.91%
74,400922_S,r-NaiveFL,3.96,5.2,7.85,8.49,7.26,7.55,5.64,1.48,8.6,5.07,2.42,100.00%
75,400922_S,NeighborFL,3.23,3.22,6.94,6.81,6.61,5.82,5.26,1.29,7.05,4.63,2.12,N/A
76,400479_S,Central,4.02,7.31,16.39,14.16,14.3,2.97,2.42,2.1,9.28,11.88,32.77,63.64%
77,400479_S,NaiveFL,3.32,6.09,12.53,11.86,10.96,5.68,5.39,1.21,13.41,13.4,20.45,81.82%
78,400479_S,r-NaiveFL,3.59,5.06,11.79,10.76,9.53,4.7,4.43,1.22,11.74,14.88,18.0,90.91%
79,400479_S,NeighborFL,4.14,3.7,11.68,10.32,8.15,4.57,4.19,1.22,11.12,9.91,17.27,N/A
80,400030_S,Central,5.11,5.76,21.21,27.08,19.14,5.72,3.02,1.44,11.21,23.79,21.74,72.73%
81,400030_S,NaiveFL,4.47,8.39,15.8,14.27,11.58,6.1,8.05,2.08,14.56,17.56,27.62,90.91%
82,400030_S,r-NaiveFL,4.58,7.5,15.13,13.63,10.7,5.91,6.74,1.9,12.53,21.72,27.84,81.82%
83,400030_S,NeighborFL,5.01,5.09,14.64,12.54,10.25,4.81,5.86,1.61,14.37,17.23,19.09,N/A
84,401560_N,Central,1.58,2.47,1.78,1.45,0.98,0.78,0.34,0.29,0.69,0.79,0.72,54.55%
85,401560_N,NaiveFL,4.54,3.2,2.74,1.27,0.64,0.65,0.69,0.6,0.79,0.75,0.94,90.91%
86,401560_N,r-NaiveFL,5.07,3.58,2.76,1.46,0.67,0.71,0.76,0.63,0.83,0.75,0.86,90.91%
87,401560_N,NeighborFL,1.62,2.16,1.99,1.2,0.61,0.57,0.46,0.44,0.43,0.59,0.97,N/A
88,401440_S,Central,2.94,16.49,8.18,8.94,5.01,8.13,0.99,1.36,1.59,8.67,2.94,45.45%
89,401440_S,NaiveFL,4.98,3.63,5.31,10.02,6.54,4.99,5.2,4.4,3.95,4.46,4.22,81.82%
90,401440_S,r-NaiveFL,4.75,3.04,5.23,9.03,6.02,4.96,4.56,4.09,3.65,3.95,4.69,63.64%
91,401440_S,NeighborFL,4.41,2.55,5.65,8.37,5.98,4.79,4.38,3.8,3.8,4.06,4.7,N/A
92,400965_N,Central,5.04,14.49,8.39,8.51,8.45,5.03,6.63,3.89,4.86,53.77,15.35,18.18%
93,400965_N,NaiveFL,6.47,15.09,9.13,9.75,7.75,8.97,11.71,5.39,6.36,12.06,21.3,63.64%
94,400965_N,r-NaiveFL,6.36,13.74,9.39,9.92,8.17,10.53,8.36,4.83,6.66,14.44,20.45,72.73%
95,400965_N,NeighborFL,5.5,17.92,9.05,9.64,7.73,10.33,9.51,4.45,6.16,12.52,21.61,N/A
96,400109_S,Central,1.74,3.44,4.12,3.93,1.56,3.77,0.44,0.39,2.01,12.16,0.6,72.73%
97,400109_S,NaiveFL,3.91,2.77,2.27,2.99,1.03,1.52,0.49,0.46,1.12,1.93,0.43,81.82%
98,400109_S,r-NaiveFL,4.45,2.99,2.18,2.1,0.64,0.67,0.7,0.4,0.49,1.22,0.24,63.64%
99,400109_S,NeighborFL,2.7,1.41,1.73,1.7,0.69,0.65,0.65,0.46,0.45,1.77,0.54,N/A
100,400760_N,Central,1.94,6.46,26.0,11.96,19.25,6.94,1.58,0.55,1.01,87.94,15.73,45.45%
101,400760_N,NaiveFL,4.64,8.75,7.68,10.43,8.44,11.35,2.7,1.51,2.85,12.12,23.12,45.45%
102,400760_N,r-NaiveFL,5.5,10.2,8.52,11.4,9.13,9.07,3.84,2.11,3.29,13.72,21.88,54.55%
103,400760_N,NeighborFL,5.63,13.03,8.83,13.06,11.31,8.95,1.78,0.52,3.09,6.56,6.39,N/A
